BANTEN,PANDEGLANG,LEBAK,TANGERANG,SERANG,KOTA TANGERANG,KOTA CILEGON,KOTA SERANG,KOTA TANGERANG SELATAN,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),461737,467494,1080511,553034,641498,141007,232346,479870,4057497
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),446076,446881,1032378,545856,618381,136079,223175,479276,3928102
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),907813,914375,2112889,1098890,1259879,277086,455521,959146,7985599
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),208,484,2433,757,2483,661,814,3738,11578
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),179,291,2574,638,2079,329,532,3888,10510
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),387,775,5007,1395,4562,990,1346,7626,22088
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),63,28,4566,195,644,354,444,2187,8481
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),64,29,4278,163,466,356,181,2128,7665
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),127,57,8844,358,1110,710,625,4315,16146
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),1786,1381,34384,5739,27376,4223,4309,21932,101130
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),1922,1425,35148,6154,27810,4542,4551,24100,105652
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),3708,2806,69532,11893,55186,8765,8860,46032,206782
5. Jumlah Pemilih (1+2+3+4+5) (LK),463794,469387,1121894,559725,672001,146245,237913,507727,4178686
5. Jumlah Pemilih (1+2+3+4+5) (PR),448241,448626,1074378,552811,648736,141306,228439,509392,4051929
5. Jumlah Pemilih (1+2+3+4+5) (JML),912035,918013,2196272,1112536,1320737,287551,466352,1017119,8230615
1. Pengguna hak pilih dalam DPT (LK),282911,297841,693612,349231,430023,100888,143267,313983,2611756
1. Pengguna hak pilih dalam DPT (PR),318522,334487,725573,387630,443478,105453,154649,332459,2802251
1. Pengguna hak pilih dalam DPT (JML),601433,632328,1419185,736861,873501,206341,297916,646442,5414007
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),207,484,2416,749,2451,594,804,3678,11383
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),174,291,2534,633,2066,299,527,3815,10339
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),381,775,4950,1382,4517,893,1331,7493,21722
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),55,18,2611,78,450,201,290,1550,5253
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),54,18,2371,74,301,206,122,1491,4637
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),109,36,4982,152,751,407,412,3041,9890
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),1786,1381,34370,5694,27360,4214,4176,21711,100692
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),1922,1425,35128,6119,27795,4532,4444,23791,105156
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),3708,2806,69498,11813,55155,8746,8620,45502,205848
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),284959,299724,733009,355752,460284,105897,148537,340922,2729084
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),320672,336221,765606,394456,473640,110490,159742,361556,2922383
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),605631,635945,1498615,750208,933924,216387,308279,702478,5651467
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),926483,933584,2157069,1121962,1285430,282475,465408,979262,8151673
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,141,173,837,1053,1053,112,109,482,3960
Jumlah surat suara yang tidak digunakan,320711,297466,657617,370701,350453,65976,157020,276302,2496246
Jumlah surat suara digunakan,605631,635945,1498615,750208,933924,216387,308279,702478,5651467
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,597768,628568,1485141,740208,925932,213518,304238,695929,5591302
Jumlah Suara tidak sah,7863,7377,13474,10000,7992,2869,4041,6549,60165
Jumlah suara sah dan tidak sah,605631,635945,1498615,750208,933924,216387,308279,702478,5651467
H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,352187,337700,878685,473545,500587,131610,182216,336141,3192671
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,245581,290868,606456,266663,425345,81908,122022,359788,2398631
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,597768,628568,1485141,740208,925932,213518,304238,695929,5591302