KALIMANTAN TENGAH,KOTAWARINGIN BARAT,KOTAWARINGIN TIMUR,KAPUAS,BARITO SELATAN,BARITO UTARA,KATINGAN,SERUYAN,SUKAMARA,LAMANDAU,GUNUNG MAS,PULANG PISAU,MURUNG RAYA,BARITO TIMUR,KOTA PALANGKARAYA,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),104352,179548,136806,48272,56889,60849,67505,20851,27932,45837,49986,40863,39283,77689,956662
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),92891,151712,132440,46723,51911,53302,54691,17962,24330,39719,46392,36563,37932,76740,863308
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),197243,331260,269246,94995,108800,114151,122196,38813,52262,85556,96378,77426,77215,154429,1819970
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),440,846,110,122,368,95,380,150,115,66,60,109,364,877,4102
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),264,518,78,70,196,77,189,114,52,28,56,38,52,816,2548
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),704,1364,188,192,564,172,569,264,167,94,116,147,416,1693,6650
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),159,939,161,177,105,186,430,16,29,48,0,127,30,402,2809
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),165,689,144,130,73,145,211,10,32,63,0,121,29,424,2236
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),324,1628,305,307,178,331,641,26,61,111,0,248,59,826,5045
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),3695,7719,841,687,1135,957,2472,451,951,1014,347,1889,685,4423,27266
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),3084,5642,790,720,992,774,1529,321,662,806,313,1344,624,4378,21979
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),6779,13361,1631,1407,2127,1731,4001,772,1613,1820,660,3233,1309,8801,49245
5. Jumlah Pemilih (1+2+3+4+5) (LK),108646,189052,137918,49258,58497,62087,70787,21468,29027,46965,50393,42988,40362,83391,990839
5. Jumlah Pemilih (1+2+3+4+5) (PR),96404,158561,133452,47643,53172,54298,56620,18407,25076,40616,46761,38066,38637,82358,890071
5. Jumlah Pemilih (1+2+3+4+5) (JML),205050,347613,271370,96901,111669,116385,127407,39875,54103,87581,97154,81054,78999,165749,1880910
1. Pengguna hak pilih dalam DPT (LK),61914,103335,79205,30712,31290,36006,41406,11333,17717,27336,29040,22650,27328,53560,572832
1. Pengguna hak pilih dalam DPT (PR),58111,90600,82325,31458,28943,33307,34853,10367,16311,24200,30798,20579,27440,55206,544498
1. Pengguna hak pilih dalam DPT (JML),120025,193935,161530,62170,60233,69313,76259,21700,34028,51536,59838,43229,54768,108766,1117330
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),429,815,90,122,368,91,373,150,108,65,59,109,202,810,3791
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),263,488,53,69,196,63,186,114,51,25,55,38,37,728,2366
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),692,1303,143,191,564,154,559,264,159,90,114,147,239,1538,6157
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),58,150,54,91,9,88,163,4,21,17,0,13,24,155,847
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),65,119,38,71,10,51,67,6,21,34,0,3,19,159,663
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),123,269,92,162,19,139,230,10,42,51,0,16,43,314,1510
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),3691,7627,841,679,1135,956,2424,451,951,1013,346,1869,685,4396,27064
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),3081,5542,790,712,992,774,1462,321,662,806,313,1331,624,4362,21772
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),6772,13169,1631,1391,2127,1730,3886,772,1613,1819,659,3200,1309,8758,48836
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),66092,111927,80190,31604,32802,37141,44366,11938,18797,28431,29445,24641,28239,58921,604534
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),61520,96749,83206,32310,30141,34195,36568,10808,17045,25065,31166,21951,28120,60455,569299
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),127612,208676,163396,63914,62943,71336,80934,22746,35842,53496,60611,46592,56359,119376,1173833
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),201276,338320,275112,97048,110922,116769,124744,39660,53411,87424,98396,79063,78794,157812,1858751
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,124,418,194,57,479,20,218,28,17,14,17,163,78,115,1942
Jumlah surat suara yang tidak digunakan,73540,129226,111522,33077,47500,45413,43592,16886,17552,33914,37768,32308,22357,38321,682976
Jumlah surat suara digunakan,127612,208676,163396,63914,62943,71336,80934,22746,35842,53496,60611,46592,56359,119376,1173833
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,126534,206884,161557,63513,62515,70840,80249,22634,35628,53239,60186,46200,55959,118538,1164476
Jumlah Suara tidak sah,1078,1792,1839,401,428,496,685,112,214,257,425,392,400,838,9357
Jumlah suara sah dan tidak sah,127612,208676,163396,63914,62943,71336,80934,22746,35842,53496,60611,46592,56359,119376,1173833
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,65241,127678,83402,37677,40394,48245,51660,14199,23889,41452,36991,25468,36052,63851,696199
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,126534,206884,161557,63513,62515,70840,80249,22634,35628,53239,60186,46200,55959,118538,1164476