KALIMANTAN SELATAN,TANAH LAUT,KOTABARU,BANJAR,BARITO KUALA,TAPIN,HULU SUNGAI SELATAN,HULU SUNGAI TENGAH,HULU SUNGAI UTARA,TABALONG,TANAH BUMBU,BALANGAN,KOTA BANJARMASIN,KOTA BANJARBARU,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),119391,118029,198696,108529,65461,82832,92554,78834,84228,112011,44554,239748,73660,1418527
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),113825,108072,193977,107502,66996,84766,94513,82709,83646,104124,44891,243405,74308,1402734
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),233216,226101,392673,216031,132457,167598,187067,161543,167874,216135,89445,483153,147968,2821261
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),233,530,715,98,133,127,65,58,907,1151,75,969,481,5542
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),71,225,534,49,45,35,49,75,290,449,60,816,413,3111
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),304,755,1249,147,178,162,114,133,1197,1600,135,1785,894,8653
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),674,684,693,41,0,105,140,42,738,385,76,335,296,4209
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),429,632,621,28,0,106,146,56,407,386,57,333,163,3364
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),1103,1316,1314,69,0,211,286,98,1145,771,133,668,459,7573
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),2211,4216,2730,411,293,219,602,373,2196,3402,219,7322,3164,27358
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),1718,2577,2514,461,183,193,656,395,1706,2132,213,7131,3403,23282
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),3929,6793,5244,872,476,412,1258,768,3902,5534,432,14453,6567,50640
5. Jumlah Pemilih (1+2+3+4+5) (LK),122509,123459,202834,109079,65887,83283,93361,79307,88069,116949,44924,248374,77601,1455636
5. Jumlah Pemilih (1+2+3+4+5) (PR),116043,111506,197646,108040,67224,85100,95364,83235,86049,107091,45221,251685,78287,1432491
5. Jumlah Pemilih (1+2+3+4+5) (JML),238552,234965,400480,217119,133111,168383,188725,162542,174118,224040,90145,500059,155888,2888127
1. Pengguna hak pilih dalam DPT (LK),74776,71490,126793,70071,47758,50415,63316,48868,56287,70783,30872,144101,47871,903401
1. Pengguna hak pilih dalam DPT (PR),76494,68268,130505,74007,50449,58567,70821,56235,59015,69004,32380,156342,53018,955105
1. Pengguna hak pilih dalam DPT (JML),151270,139758,257298,144078,98207,108982,134137,105103,115302,139787,63252,300443,100889,1858506
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),233,528,572,95,96,127,65,55,907,1075,68,816,443,5080
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),71,221,426,47,33,35,47,72,290,423,56,635,369,2725
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),304,749,998,142,129,162,112,127,1197,1498,124,1451,812,7805
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),222,309,129,26,0,57,63,21,321,88,59,210,216,1721
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),120,296,114,17,0,61,91,25,227,58,36,182,98,1325
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),342,605,243,43,0,118,154,46,548,146,95,392,314,3046
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),2211,4210,2730,411,290,219,599,351,2196,3402,217,7211,3164,27211
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),1718,2577,2514,461,183,192,655,372,1705,2132,208,7106,3403,23226
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),3929,6787,5244,872,473,411,1254,723,3901,5534,425,14317,6567,50437
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),77442,76537,130224,70603,48144,50818,64043,49295,59711,75348,31216,152338,51694,937413
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),78403,71362,133559,74532,50665,58855,71614,56704,61237,71617,32680,164265,56888,982381
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),155845,147899,263783,145135,98809,109673,135657,105999,120948,146965,63896,316603,108582,1919794
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),238182,231048,401080,220650,135344,171222,191129,165111,171530,220739,91397,493346,151163,2881941
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,126,225,295,41,76,28,112,53,66,144,109,620,135,2030
Jumlah surat suara yang tidak digunakan,82211,82924,137002,75474,36459,61521,55360,59059,50516,73630,27392,176123,42446,960117
Jumlah surat suara digunakan,155845,147899,263783,145135,98809,109673,135657,105999,120948,146965,63896,316603,108582,1919794
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,153987,146311,256609,142858,95921,106542,131791,103246,119244,145054,62221,310884,106889,1881557
Jumlah Suara tidak sah,1858,1588,7174,2277,2888,3131,3866,2753,1704,1911,1675,5719,1693,38237
Jumlah suara sah dan tidak sah,155845,147899,263783,145135,98809,109673,135657,105999,120948,146965,63896,316603,108582,1919794
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,81892,88379,125116,71968,37740,52765,52007,43068,50403,93242,32915,157062,53191,939748
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,153987,146311,256609,142858,95921,106542,131791,103246,119244,145054,62221,310884,106889,1881557