SUMATERA BARAT,PESISIR SELATAN,SOLOK,SIJUNJUNG,TANAH DATAR,PADANG PARIAMAN,AGAM,LIMA PULUH KOTA,PASAMAN,KEPULAUAN MENTAWAI,DHARMASRAYA,SOLOK SELATAN,PASAMAN BARAT,KOTA PADANG,KOTA SOLOK,KOTA SAWAHLUNTO,KOTA PADANG PANJANG,KOTA BUKITTINGGI,KOTA PAYAKUMBUH,KOTA PARIAMAN,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),159458,132044,73776,132028,143205,163247,129500,95725,29747,72929,55521,128763,302165,23051,22149,16716,36138,42790,30139,1789091
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),162606,134978,73959,138749,148416,168292,135130,98115,27144,68903,53870,128734,307705,23447,22592,17356,37476,44110,30878,1822460
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),322064,267022,147735,270777,291621,331539,264630,193840,56891,141832,109391,257497,609870,46498,44741,34072,73614,86900,61017,3611551
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),358,327,160,215,215,261,132,204,187,140,189,539,1198,136,152,613,198,158,106,5488
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),446,325,169,210,190,274,124,207,108,106,160,450,1255,91,175,668,169,184,117,5428
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),804,652,329,425,405,535,256,411,295,246,349,989,2453,227,327,1281,367,342,223,10916
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),47,63,14,98,119,90,23,64,21,191,104,123,572,47,28,3,41,19,133,1800
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),63,100,9,107,102,100,29,57,18,116,109,107,443,38,21,5,40,18,117,1599
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),110,163,23,205,221,190,52,121,39,307,213,230,1015,85,49,8,81,37,250,3399
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),1512,2241,988,1809,2490,2528,775,796,317,2181,1389,2893,10797,339,76,157,1069,430,461,33248
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),1507,2274,935,1969,2481,2594,820,938,243,1755,1189,2687,12779,344,54,170,1057,446,466,34708
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),3019,4515,1923,3778,4971,5122,1595,1734,560,3936,2578,5580,23576,683,130,327,2126,876,927,67956
5. Jumlah Pemilih (1+2+3+4+5) (LK),161375,134675,74938,134150,146029,166126,130430,96789,30272,75441,57203,132318,314732,23573,22405,17489,37446,43397,30839,1829627
5. Jumlah Pemilih (1+2+3+4+5) (PR),164622,137677,75072,141035,151189,171260,136103,99317,27513,70880,55328,131978,322182,23920,22842,18199,38742,44758,31578,1864195
5. Jumlah Pemilih (1+2+3+4+5) (JML),325997,272352,150010,275185,297218,337386,266533,196106,57785,146321,112531,264296,636914,47493,45247,35688,76188,88155,62417,3693822
1. Pengguna hak pilih dalam DPT (LK),91217,73251,44445,73015,76742,94870,75550,54946,20982,50741,33434,79322,164565,13713,13695,10082,21887,26096,17606,1036159
1. Pengguna hak pilih dalam DPT (PR),111825,88040,52824,92114,97490,115623,96081,64815,18940,52420,37267,87300,199300,16239,16190,12413,25743,32052,21999,1238675
1. Pengguna hak pilih dalam DPT (JML),203042,161291,97269,165129,174232,210493,171631,119761,39922,103161,70701,166622,363865,29952,29885,22495,47630,58148,39605,2274834
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),348,319,156,205,215,261,128,188,187,140,177,521,1191,127,128,327,192,149,97,5056
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),442,316,160,206,190,273,123,197,108,106,153,437,1249,86,132,387,165,174,98,5002
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),790,635,316,411,405,534,251,385,295,246,330,958,2440,213,260,714,357,323,195,10058
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),22,22,8,47,39,39,17,32,0,101,45,68,361,17,20,2,28,15,62,945
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),43,38,7,61,41,30,18,34,0,62,42,62,293,25,12,4,38,10,63,883
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),65,60,15,108,80,69,35,66,0,163,87,130,654,42,32,6,66,25,125,1828
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),1500,2239,963,1808,2485,2516,774,795,317,2180,1381,2790,10788,337,76,157,1069,429,461,33065
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),1491,2268,921,1967,2477,2590,819,937,243,1754,1184,2582,12772,344,54,170,1057,446,466,34542
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),2991,4507,1884,3775,4962,5106,1593,1732,560,3934,2565,5372,23560,681,130,327,2126,875,927,67607
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),93087,75831,45572,75075,79481,97686,76469,55961,21486,53162,35037,82701,176905,14194,13919,10568,23176,26689,18226,1075225
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),113801,90662,53912,94348,100198,118516,97041,65983,19291,54342,38646,90381,213614,16694,16388,12974,27003,32682,22626,1279102
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),206888,166493,99484,169423,179679,216202,173510,121944,40777,107504,73683,173082,390519,30888,30307,23542,50179,59371,40852,2354327
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),327032,272795,150587,277066,297905,338732,270107,198082,58128,144881,111844,262129,622120,47490,45705,34784,75206,88739,62310,3685642
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,128,250,100,130,103,148,71,62,21,86,64,239,307,36,10,5,62,18,11,1851
Jumlah surat suara yang tidak digunakan,120016,106052,51003,107513,118123,122382,96526,76076,17330,37291,38097,88808,231294,16566,15388,11237,24965,29350,21447,1329464
Jumlah surat suara digunakan,206888,166493,99484,169423,179679,216202,173510,121944,40777,107504,73683,173082,390519,30888,30307,23542,50179,59371,40852,2354327
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,205524,164973,98799,167620,178293,214306,171782,120887,40511,106878,73168,171960,388548,30719,30140,23349,49826,58881,40649,2336813
Jumlah Suara tidak sah,1364,1520,685,1803,1386,1896,1728,1057,266,626,515,1122,1971,169,167,193,353,490,203,17514
Jumlah suara sah dan tidak sah,206888,166493,99484,169423,179679,216202,173510,121944,40777,107504,73683,173082,390519,30888,30307,23542,50179,59371,40852,2354327
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,58374,23831,24296,40187,37355,38392,34699,26644,31440,36737,17103,42560,83698,5070,6666,4402,9434,11750,6670,539308
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,205524,164973,98799,167620,178293,214306,171782,120887,40511,106878,73168,171960,388548,30719,30140,23349,49826,58881,40649,2336813