PAPUA BARAT,SORONG,MANOKWARI,FAKFAK,SORONG SELATAN,RAJA AMPAT,TELUK BINTUNI,TELUK WONDAMA,KAIMANA,TAMBRAUW,MAYBRAT,KOTA SORONG,Jumlah Akhir
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),48183,91876,26317,18405,20775,28344,12315,19427,11619,14606,88269,380136
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),39153,82228,25106,17056,17335,21807,10256,16586,9771,14308,81720,335326
1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),87336,174104,51423,35461,38110,50151,22571,36013,21390,28914,169989,715462
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),24,170,125,0,133,0,0,13,24,0,298,787
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),13,188,97,0,93,0,0,5,11,0,277,684
2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),37,358,222,0,226,0,0,18,35,0,575,1471
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),78,57,366,0,0,678,0,0,0,0,0,1179
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),50,51,218,0,0,96,0,0,0,0,0,415
3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),128,108,584,0,0,774,0,0,0,0,0,1594
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),935,770,514,0,455,850,400,590,13,0,2112,6639
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),692,608,288,0,301,561,347,484,7,0,1972,5260
4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),1627,1378,802,0,756,1411,747,1074,20,0,4084,11899
5. Jumlah Pemilih (1+2+3+4+5) (LK),49220,92873,27322,18405,21363,29872,12715,20030,11656,14606,90679,388741
5. Jumlah Pemilih (1+2+3+4+5) (PR),39908,83075,25709,17056,17729,22464,10603,17075,9789,14308,83969,341685
5. Jumlah Pemilih (1+2+3+4+5) (JML),89128,175948,53031,35461,39092,52336,23318,37105,21445,28914,174648,730426
1. Pengguna hak pilih dalam DPT (LK),30353,73897,17998,17836,14436,22142,8959,10978,10824,14606,50062,272091
1. Pengguna hak pilih dalam DPT (PR),26133,68937,17678,16844,12383,17204,7796,10116,9054,14308,50054,250507
1. Pengguna hak pilih dalam DPT (JML),56486,142834,35676,34680,26819,39346,16755,21094,19878,28914,100116,522598
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),24,168,124,0,110,0,0,13,24,0,298,761
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),13,183,97,0,90,0,0,5,11,0,277,676
2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),37,351,221,0,200,0,0,18,35,0,575,1437
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),1,1,43,0,0,266,0,0,0,0,0,311
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),1,0,24,0,0,0,0,0,0,0,0,25
3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),2,1,67,0,0,266,0,0,0,0,0,336
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),935,770,514,0,455,850,400,590,13,0,2112,6639
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),692,608,288,0,301,561,347,484,7,0,1972,5260
4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),1627,1378,802,0,756,1411,747,1074,20,0,4084,11899
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),31313,74836,18679,17836,15001,23258,9359,11581,10861,14606,52472,279802
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),26839,69728,18087,16844,12774,17765,8143,10605,9072,14308,52303,256468
5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),58152,144564,36766,34680,27775,41023,17502,22186,19933,28914,104775,536270
Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),89083,177586,52451,36170,38872,51154,23022,36733,21818,29492,173389,729770
Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,47,55,82,0,242,16,0,367,0,0,52,861
Jumlah surat suara yang tidak digunakan,30884,32967,15603,1490,10855,10115,5520,14180,1885,578,68562,192639
Jumlah surat suara digunakan,58152,144564,36766,34680,27775,41023,17502,22186,19933,28914,104775,536270
Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,57821,143703,36184,34529,27546,40813,17395,21993,19833,28848,104242,532907
Jumlah Suara tidak sah,331,861,582,151,229,210,107,193,100,66,533,3363
Jumlah suara sah dan tidak sah,58152,144564,36766,34680,27775,41023,17502,22186,19933,28914,104775,536270
H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,24307,42328,15055,8939,7920,12314,3291,6766,4559,7966,39083,172528
Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,33514,101375,21129,25590,19626,28499,14104,15227,15274,20882,65159,360379
Jumlah Suara Sah Calon Presiden dan Wakil Presiden,57821,143703,36184,34529,27546,40813,17395,21993,19833,28848,104242,532907