KALIMANTAN BARAT,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
SAMBAS,209544,203861,413405,408,196,604,56,45,101,893,908,1801,210901,205010,415911,123790,143497,267287,346,168,514,28,21,49,893,908,1801,125057,144594,269651,422045,141,152253,269651,267822,1829,269651,112819,155003,267822
PONTIANAK,92156,89965,182121,498,279,777,172,76,248,840,785,1625,93666,91105,184771,60334,61479,121813,275,146,421,134,40,174,837,782,1619,61580,62447,124027,186069,82,61960,124027,123342,685,124027,73495,49847,123342
SANGGAU,162742,151755,314497,479,275,754,60,43,103,2345,1903,4248,165626,153976,319602,131960,123611,255571,479,275,754,48,37,85,2336,1894,4230,134823,125817,260640,321651,129,60882,260640,258892,1748,260640,67672,191220,258892
KETAPANG,182406,166468,348874,530,294,824,548,415,963,3045,2109,5154,186529,169286,355815,122666,114829,237495,528,293,821,233,150,383,3008,2096,5104,126435,117368,243803,356345,125,112417,243803,242034,1769,243803,91890,150144,242034
SINTANG,148235,140673,288908,570,368,938,57,40,97,2107,1909,4016,150969,142990,293959,122042,116044,238086,537,344,881,13,8,21,2085,1905,3990,124677,118301,242978,295312,117,52217,242978,241494,1484,242978,70855,170639,241494
KAPUAS HULU,86956,82607,169563,292,152,444,194,209,403,688,669,1357,88130,83637,171767,66474,65979,132453,274,146,420,71,73,144,684,661,1345,67503,66859,134362,173405,58,38985,134362,133550,812,134362,45342,88208,133550
BENGKAYANG,86779,79041,165820,109,52,161,90,50,140,1294,1152,2446,88272,80295,168567,62329,58130,120459,108,52,160,36,15,51,1294,1152,2446,63767,59349,123116,169306,152,46038,123116,122152,964,123116,30726,91426,122152
LANDAK,134930,122663,257593,97,86,183,77,83,160,770,633,1403,135874,123465,259339,122195,110831,233026,97,86,183,15,17,32,770,633,1403,123077,111567,234644,263204,139,28421,234644,233233,1411,234644,37623,195610,233233
SEKADAU,74582,70884,145466,120,78,198,23,23,46,436,380,816,75161,71365,146526,59002,55881,114883,95,65,160,14,10,24,434,380,814,59545,56336,115881,148637,35,32721,115881,115309,572,115881,30996,84313,115309
MELAWI,78075,74255,152330,109,68,177,19,20,39,556,426,982,78759,74769,153528,71848,68372,140220,109,67,176,5,6,11,554,424,978,72516,68869,141385,155731,89,14257,141385,140587,798,141385,59353,81234,140587
KAYONG UTARA,38752,36696,75448,112,58,170,7,6,13,190,159,349,39061,36919,75980,23210,23675,46885,98,54,152,0,3,3,189,159,348,23497,23891,47388,77087,22,29677,47388,46972,416,47388,26303,20669,46972
KUBU RAYA,209022,202428,411450,504,373,877,105,82,187,2701,2828,5529,212332,205711,418043,134746,136703,271449,454,334,788,52,48,100,2671,2799,5470,137923,139884,277807,419379,160,141412,277807,276289,1518,277807,163423,112866,276289
KOTA PONTIANAK,207146,209587,416733,1181,1172,2353,246,218,464,5163,5240,10403,213736,216217,429953,144356,153428,297784,1161,1146,2307,147,109,256,5163,5240,10403,150827,159923,310750,425608,334,114524,310750,308929,1821,310750,182652,126277,308929
KOTA SINGKAWANG,82425,81644,164069,446,319,765,54,35,89,1052,1116,2168,83977,83114,167091,45927,46642,92569,423,301,724,30,19,49,1051,1108,2159,47431,48070,95501,167549,48,72000,95501,94795,706,95501,39205,55590,94795
Jumlah Akhir,1793750,1712527,3506277,5455,3770,9225,1708,1345,3053,22080,20217,42297,1822993,1737859,3560852,1290879,1279101,2569980,4984,3477,8461,826,556,1382,21969,20141,42110,1318658,1303275,2621933,3581328,1631,957764,2621933,2605400,16533,2621933,1032354,1573046,2605400