SUMATERA SELATAN,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
OGAN KOMERING ULU,128116,123781,251897,127,70,197,8,8,16,1182,1137,2319,129433,124996,254429,86442,85214,171656,127,70,197,4,8,12,1182,1137,2319,87755,86429,174184,256926,207,82535,174184,173119,1065,174184,108647,64472,173119
OGAN KOMERING ILIR,285965,270172,556137,335,209,544,184,160,344,1590,1508,3098,288074,272049,560123,211476,209810,421286,330,201,531,142,49,191,1590,1508,3098,213538,211568,425106,568214,294,142814,425106,422312,2794,425106,230650,191662,422312
MUARA ENIM,268067,268023,536090,330,182,512,195,194,389,2084,1918,4002,270676,270317,540993,192246,199180,391426,319,170,489,80,77,157,2084,1918,4002,194729,201345,396074,546714,76,150564,396074,393672,2402,396074,176547,217125,393672
LAHAT,148931,144112,293043,141,117,258,45,45,90,1494,1534,3028,150611,145808,296419,102373,103961,206334,141,117,258,29,27,56,1494,1534,3028,104037,105639,209676,298803,58,89069,209676,208027,1649,209676,124162,83865,208027
MUSI RAWAS,217990,209703,427693,319,293,612,0,0,0,1137,867,2004,219446,210863,430309,160460,157025,317485,291,264,555,0,0,0,1137,867,2004,161888,158156,320044,435247,149,115054,320044,317965,2079,320044,124598,193367,317965
MUSI BANYUASIN,233392,224411,457803,391,230,621,368,335,703,2766,2082,4848,236917,227058,463975,151199,147253,298452,373,218,591,115,116,231,2766,2082,4848,154453,149669,304122,466950,99,162729,304122,302105,2017,304122,125556,176549,302105
BANYUASIN,297128,289323,586451,421,418,839,180,58,238,3762,3532,7294,301491,293331,594822,202771,206942,409713,421,418,839,172,48,220,3762,3532,7294,207126,210940,418066,596999,302,178631,418066,414047,4019,418066,189938,224109,414047
OGAN KOMERING ULU TIMUR,242898,233474,476372,39,27,66,443,600,1043,719,770,1489,244099,234871,478970,190287,187364,377651,31,26,57,207,260,467,719,770,1489,191244,188420,379664,485899,113,106122,379664,377667,1997,379664,225364,152303,377667
OGAN KOMERING ULU SELATAN,135502,124885,260387,40,16,56,48,47,95,225,216,441,135815,125164,260979,98582,89265,187847,40,16,56,28,36,64,225,216,441,98875,89533,188408,265612,6,77198,188408,187285,1123,188408,110146,77139,187285
OGAN ILIR,149900,151326,301226,320,418,738,539,493,1032,1278,1312,2590,152037,153549,305586,97506,104729,202235,272,341,613,144,133,277,1278,1312,2590,99200,106515,205715,307286,67,101504,205715,204165,1550,205715,107659,96506,204165
EMPAT LAWANG,93198,88289,181487,0,0,0,112,87,199,602,452,1054,93912,88828,182740,54847,54932,109779,0,0,0,112,87,199,602,452,1054,55561,55471,111032,185103,23,74048,111032,108768,2264,111032,60332,48436,108768
KOTA PALEMBANG,567461,576553,1144014,2184,2162,4346,480,492,972,12114,13205,25319,582239,592412,1174651,363857,395752,759609,2144,2125,4269,128,124,252,12114,13205,25319,378243,411206,789449,1177196,1371,386376,789449,782641,6808,789449,410473,372168,782641
KOTA PAGAR ALAM,53203,51317,104520,36,39,75,24,31,55,347,344,691,53610,51731,105341,35775,35453,71228,33,37,70,14,16,30,347,344,691,36169,35850,72019,106610,25,34566,72019,71585,434,72019,38006,33579,71585
KOTA LUBUKLINGGAU,76642,78051,154693,167,135,302,89,99,188,993,975,1968,77891,79260,157151,50154,53836,103990,161,134,295,9,8,17,993,975,1968,51317,54953,106270,157591,36,51285,106270,105677,593,106270,55804,49873,105677
KOTA PRABUMULIH,65852,67360,133212,265,226,491,10,4,14,488,392,880,66615,67982,134597,42937,46490,89427,265,226,491,3,1,4,488,392,880,43693,47109,90802,135930,102,45026,90802,90177,625,90802,44281,45896,90177
Jumlah Akhir,2964245,2900780,5865025,5115,4542,9657,2725,2653,5378,30781,30244,61025,3002866,2938219,5941085,2040912,2077206,4118118,4948,4363,9311,1187,990,2177,30781,30244,61025,2077828,2112803,4190631,5991080,2928,1797521,4190631,4159212,31419,4190631,2132163,2027049,4159212