LAMPUNG,1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (LK),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (PR),1. Jumlah pemilih terdaftar dalam Daftar Pemilih Tetap (DPT) (JML),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (LK),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (PR),2. Jumlah pemilih Terdaftar dalam Daftar Pemilih Tambahan (DPTb) (JML),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (LK),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (PR),3. Pemilih Terdaftar dalam daftar Pemilih Khusus (DPK) (JML),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (LK),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (PR),4. Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/nama sejenis lainnya (JML),5. Jumlah Pemilih (1+2+3+4+5) (LK),5. Jumlah Pemilih (1+2+3+4+5) (PR),5. Jumlah Pemilih (1+2+3+4+5) (JML),1. Pengguna hak pilih dalam DPT (LK),1. Pengguna hak pilih dalam DPT (PR),1. Pengguna hak pilih dalam DPT (JML),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (LK),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (PR),2. Pengguna hak pilih dalam Daftar Pemilih Tambahan(DPTb)/Pemilih dari TPS lain (JML),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (LK),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (PR),3. Pengguna hak pilih dalam Daftar Pemilih Khusus (DPK) (JML),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (LK),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (PR),4. Pengguna hak pilih dalam Daftar Pemilih Khusus Tambahan (DPKTb)/pengguna KTP dan KK/Nama sejenis lainnya (JML),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (LK),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (PR),5. Jumlah seluruh pengguna Hak Pilih (1+2+3+4) (JML),Jumlah surat suara yang diterima termasuk cadangan 2% (2+3+4),Jumlah surat suara dikembalikan oleh pemilih karena rusak/keliru coblos,Jumlah surat suara yang tidak digunakan,Jumlah surat suara digunakan,Jumlah suara sah seluruh Calon Presiden dan Wakil Presiden,Jumlah Suara tidak sah,Jumlah suara sah dan tidak sah,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden
LAMPUNG SELATAN,362952,346210,709162,35,28,63,107,103,210,3227,3281,6508,366321,349622,715943,257278,259084,516362,29,19,48,62,63,125,3227,3281,6508,260596,262447,523043,722987,567,199377,523043,519186,3857,523043,231365,287821,519186
LAMPUNG TENGAH,464955,440351,905306,224,133,357,559,547,1106,3079,3208,6287,468817,444239,913056,334343,335553,669896,212,113,325,338,376,714,3019,3129,6148,337912,339171,677083,913807,309,236415,677083,673729,3354,677083,306752,366977,673729
LAMPUNG UTARA,220954,217338,438292,166,137,303,57,64,121,2506,2953,5459,223683,220492,444175,159491,161194,320685,166,137,303,39,39,78,2506,2953,5459,162202,164323,326525,448240,78,121637,326525,324685,1840,326525,185801,138884,324685
LAMPUNG BARAT,169623,152018,321641,362,384,746,177,163,340,1438,1454,2892,171600,154019,325619,125237,111607,236844,349,362,711,101,86,187,1435,1450,2885,127122,113505,240627,328830,64,88139,240627,237816,2811,240627,97555,140261,237816
TULANG BAWANG,149658,136515,286173,1008,401,1409,380,399,779,1836,1344,3180,152882,138659,291541,107160,97489,204649,539,276,815,181,106,287,1836,1344,3180,109716,99215,208931,291170,156,82083,208931,207717,1214,208931,95164,112553,207717
TANGGAMUS,237934,221085,459019,118,107,225,177,202,379,634,571,1205,238863,221965,460828,157541,151541,309082,107,96,203,44,56,100,634,571,1205,158326,152264,310590,468855,92,158173,310590,308830,1760,310590,163155,145675,308830
LAMPUNG TIMUR,396552,380426,776978,163,113,276,891,929,1820,2375,2730,5105,399981,384198,784179,269557,268652,538209,159,112,271,465,482,947,2375,2730,5105,272556,271976,544532,793894,186,249176,544532,541795,2737,544532,230528,311267,541795
WAY KANAN,173248,162741,335989,54,35,89,469,264,733,550,530,1080,174321,163570,337891,124908,117644,242552,47,24,71,197,138,335,550,530,1080,125702,118336,244038,342580,98,98444,244038,242669,1369,244038,107739,134930,242669
PESAWARAN,164755,155191,319946,222,203,425,248,178,426,677,866,1543,165902,156438,322340,118940,117317,236257,199,186,385,186,134,320,677,866,1543,120002,118503,238505,332325,31,93789,238505,236875,1630,238505,113560,123315,236875
PRINGSEWU,157935,151621,309556,105,75,180,50,54,104,1132,1278,2410,159222,153028,312250,105222,105710,210932,101,74,175,36,42,78,1132,1276,2408,106491,107102,213593,317417,78,103746,213593,212352,1241,213593,102677,109675,212352
MESUJI,76614,70146,146760,33,27,60,1602,1069,2671,538,382,920,78787,71624,150411,54702,52596,107298,33,27,60,16,12,28,538,382,920,55289,53017,108306,147897,17,39574,108306,107705,601,108306,45124,62581,107705
TULANG BAWANG BARAT,103900,98744,202644,53,36,89,46,41,87,1188,1242,2430,105187,100063,205250,76288,74705,150993,52,35,87,27,31,58,1188,1242,2430,77555,76013,153568,206912,95,53249,153568,152678,890,153568,69047,83631,152678
KOTA BANDAR LAMPUNG,330827,322903,653730,1625,1579,3204,998,977,1975,16493,18174,34667,349943,343633,693576,218591,230517,449108,1554,1486,3040,465,537,1002,16294,17935,34229,236904,250475,487379,659928,913,171636,487379,484002,3377,487379,243525,240477,484002
KOTA METRO,55286,55729,111015,122,64,186,171,39,210,1159,1349,2508,56738,57181,113919,39790,41751,81541,108,62,170,33,20,53,1159,1349,2508,41090,43182,84272,113280,26,28982,84272,83774,498,84272,41932,41842,83774
Jumlah Akhir,3065193,2911018,5976211,4290,3322,7612,5932,5029,10961,36832,39362,76194,3112247,2958731,6070978,2149048,2125360,4274408,3655,3009,6664,2190,2122,4312,36570,39038,75608,2191463,2169529,4360992,6088122,2710,1724420,4360992,4333813,27179,4360992,2033924,2299889,4333813