No,Id,Provinsi,Kabupaten / Kota,5. Jumlah Pemilih (1+2+3+4+5) (JML),H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,Jumlah Suara Sah Calon Presiden dan Wakil Presiden,Jumlah Tidak Memilih dan Suara Tidak Sah,Jumlah Tidak Memilih dan Suara Tidak Sah (%),Pasangan yang Unggul,Selisih Suara,Selisih Suara (%)
1,1103,Nanggroe Aceh Darussalam,Aceh Selatan,154771,55551,42182,97733,57038,36.85315725,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,13369,13.67910532
2,1104,Nanggroe Aceh Darussalam,Aceh Tenggara,142803,73999,40413,114412,28391,19.88123499,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,33586,29.35531238
3,1105,Nanggroe Aceh Darussalam,Aceh Timur,272287,64601,63548,128149,144138,52.93605644,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,1053,0.82169974
4,1106,Nanggroe Aceh Darussalam,Aceh Tengah,128674,40522,57882,98404,30270,23.52456596,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-17360,-17.64155929
5,1107,Nanggroe Aceh Darussalam,Aceh Barat,124419,47335,40062,87397,37022,29.75590545,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,7273,8.321795943
6,1108,Nanggroe Aceh Darussalam,Aceh Besar,248658,91130,72502,163632,85026,34.19395314,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,18628,11.38408135
7,1109,Nanggroe Aceh Darussalam,Pidie,289127,72241,93308,165549,123578,42.74177092,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-21067,-12.72553745
8,1111,Nanggroe Aceh Darussalam,Aceh Utara,393843,125359,82486,207845,185998,47.22643287,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,42873,20.6273906
9,1101,Nanggroe Aceh Darussalam,Simeulue,53995,11889,29538,41427,12568,23.27622928,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-17649,-42.60265045
10,1102,Nanggroe Aceh Darussalam,Aceh Singkil,75672,27281,19230,46511,29161,38.53605032,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,8051,17.30988368
11,1110,Nanggroe Aceh Darussalam,Bireuen,295761,95777,60087,155864,139897,47.30069211,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,35690,22.89816763
12,1112,Nanggroe Aceh Darussalam,Aceh Barat Daya,97811,28334,26534,54868,42943,43.90405987,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,1800,3.280600714
13,1113,Nanggroe Aceh Darussalam,Gayo Lues,59705,18172,25640,43812,15893,26.61921112,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-7468,-17.04555829
14,1116,Nanggroe Aceh Darussalam,Aceh Jaya,57483,22189,17945,40134,17349,30.18109702,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,4244,10.57457517
15,1115,Nanggroe Aceh Darussalam,Nagan Raya,111840,35565,38848,74413,37427,33.4647711,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-3283,-4.411863518
16,1114,Nanggroe Aceh Darussalam,Aceh Tamiang,188499,74269,41143,115412,73087,38.77314999,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,33126,28.70238797
17,1117,Nanggroe Aceh Darussalam,Bener Meriah,92154,30389,41171,71560,20594,22.34737505,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-10782,-15.06707658
18,1118,Nanggroe Aceh Darussalam,Pidie Jaya,102666,24082,30338,54420,48246,46.99316229,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-6256,-11.49577361
19,1171,Nanggroe Aceh Darussalam,Kota Banda Aceh,161862,45823,36003,81826,80036,49.44705984,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,9820,12.00107545
20,1172,Nanggroe Aceh Darussalam,Kota Sabang,23549,7301,5537,12838,10711,45.48388467,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,1764,13.74045802
21,1174,Nanggroe Aceh Darussalam,Kota Lhokseumawe,123315,34616,19296,53912,69403,56.28106881,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,15320,28.41667903
22,1173,Nanggroe Aceh Darussalam,Kota Langsa,110916,42693,18340,61033,49883,44.97367377,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,24353,39.90136484
23,1175,Nanggroe Aceh Darussalam,Kota Subulussalam,47349,20172,11276,31448,15901,33.58254662,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,8896,28.28796744
25,2102,Kepulauan Riau,Bintan,109000,27117,43663,70780,38220,35.06422018,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-16546,-23.37666007
26,2101,Kepulauan Riau,Karimun,172901,35843,65509,101352,71549,41.3814842,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-29666,-29.270266
27,2103,Kepulauan Riau,Natuna,52723,9952,22372,32324,20399,38.69089392,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-12420,-38.42346244
28,2104,Kepulauan Riau,Lingga,68387,14018,32943,46961,21426,31.33051603,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-18925,-40.29939737
29,2105,Kepulauan Riau,Kepulauan Anambas,31265,5468,15145,20613,10652,34.07004638,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-9677,-46.94610197
30,2171,Kepulauan Riau,Kota Batam,811800,202246,257166,459412,352388,43.40822863,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-54920,-11.95441129
31,2172,Kepulauan Riau,Kota Tanjung Pinang,150474,38264,55021,93285,57189,38.00590135,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-16757,-17.96323096
33,3101,DKI Jakarta,Kepulauan Seribu,20591,6906,8089,14995,5596,27.17692196,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-1183,-7.889296432
34,3173,DKI Jakarta,Jakarta Pusat,815576,258376,308059,566435,249141,30.5478582,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-49683,-8.771174098
35,3175,DKI Jakarta,Jakarta Utara,1206282,342651,516654,859305,346977,28.76416957,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-174003,-20.24927121
36,3174,DKI Jakarta,Jakarta Barat,1746826,479815,742103,1221918,524908,30.0492436,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-262288,-21.46527017
37,3171,DKI Jakarta,Jakarta Selatan,1665662,612442,568358,1180800,484862,29.10926707,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,44084,3.733401084
38,3172,DKI Jakarta,Jakarta Timur,2068164,827874,716631,1544505,523659,25.31999397,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,111243,7.202501772
40,3201,Jawa Barat,Bogor,3404348,1636134,852888,2489022,915326,26.88696925,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,783246,31.46802238
41,3202,Jawa Barat,Sukabumi,1811312,829802,392927,1222729,588583,32.49484352,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,436875,35.72950343
42,3203,Jawa Barat,Cianjur,1701452,643722,442822,1086544,614908,36.14019085,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,200900,18.48981726
43,3204,Jawa Barat,Bandung,2501445,1171109,655044,1826153,675292,26.99607627,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,516065,28.25968032
44,3205,Jawa Barat,Garut,1814981,866613,369199,1235812,579169,31.91047179,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,497414,40.2499733
45,3206,Jawa Barat,Tasikmalaya,1361583,647755,268568,916323,445260,32.70164213,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,379187,41.3813688
46,3207,Jawa Barat,Ciamis,1254869,492890,418505,911395,343474,27.3713033,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,74385,8.161664262
47,3208,Jawa Barat,Kuningan,855459,312002,250156,562158,293301,34.28580446,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,61846,11.00153338
48,3209,Jawa Barat,Cirebon,1763311,415517,653687,1069204,694107,39.36384449,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-238170,-22.27544977
49,3210,Jawa Barat,Majalengka,970313,386707,338875,725582,244731,25.2218614,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,47832,6.592225276
50,3211,Jawa Barat,Sumedang,846183,401847,252193,654040,192143,22.70702673,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,149654,22.88147514
51,3212,Jawa Barat,Indramayu,1443260,371044,540832,911876,531384,36.81831409,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-169788,-18.61963688
52,3213,Jawa Barat,Subang,1171007,413671,447818,861489,309518,26.43178051,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-34147,-3.963718631
53,3214,Jawa Barat,Purwakarta,656327,347259,138257,485516,170811,26.02528922,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,209002,43.047397
54,3215,Jawa Barat,Karawang,1757931,708495,473557,1182052,575879,32.75890806,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,234938,19.87543695
55,3216,Jawa Barat,Bekasi,2181435,906196,555723,1461919,719516,32.98360941,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,350473,23.97348964
56,3217,Jawa Barat,Bandung Barat,1197392,547731,332085,879816,317576,26.52230848,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,215646,24.51035216
57,3271,Jawa Barat,Kota Bogor,708964,340286,210578,550864,158100,22.300145,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,129708,23.54628366
58,3272,Jawa Barat,Kota Sukabumi,226983,120118,53070,173188,53795,23.70001278,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,67048,38.71399866
59,3273,Jawa Barat,Kota Bandung,1759748,778703,571022,1349725,410023,23.30009751,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,207681,15.38691215
60,3274,Jawa Barat,Kota Cirebon,238924,78359,91079,169438,69486,29.08288828,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-12720,-7.507170765
61,3275,Jawa Barat,Kota Bekasi,1863024,671405,555525,1226930,636094,34.14309209,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,115880,9.444711597
62,3276,Jawa Barat,Kota Depok,1310010,543284,412695,955979,354031,27.02506088,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,130589,13.66023731
63,3277,Jawa Barat,Kota Cimahi,400674,198498,104239,302737,97937,24.44306344,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,94259,31.13560615
64,3278,Jawa Barat,Kota Tasikmalaya,477507,281665,99307,380972,96535,20.21645756,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,182358,47.86650987
65,3279,Jawa Barat,Kota Banjar,142936,56569,49664,106233,36703,25.67792578,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,6905,6.499863508
67,3301,Jawa Tengah,Cilacap,1493985,381863,585252,967115,526870,35.26608366,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-203389,-21.03048758
68,3302,Jawa Tengah,Banyumas,1333216,346345,613226,959571,373645,28.02584127,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-266881,-27.81253289
69,3303,Jawa Tengah,Purbalingga,731258,183873,320704,504577,226681,30.99877198,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-136831,-27.11796217
70,3304,Jawa Tengah,Banjarnegara,763305,196898,322398,519296,244009,31.96743111,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-125500,-24.16733424
71,3305,Jawa Tengah,Kebumen,1042620,257306,422713,680019,362601,34.7778673,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-165407,-24.32387919
72,3306,Jawa Tengah,Purworejo,632476,166190,262246,428436,204040,32.26051265,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-96056,-22.42015143
73,3307,Jawa Tengah,Wonosobo,659839,169209,296386,465595,194244,29.4380902,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-127177,-27.3149411
74,3308,Jawa Tengah,Magelang,965390,345405,407458,752863,212527,22.01462621,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-62053,-8.242269842
75,3309,Jawa Tengah,Boyolali,806819,145353,457914,603267,203552,25.2289547,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-312561,-51.811387
76,3310,Jawa Tengah,Klaten,1015960,189035,562631,751666,264294,26.01421316,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-373596,-49.70239441
77,3311,Jawa Tengah,Sukoharjo,680790,105817,411498,517315,163475,24.01254425,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-305681,-59.0899162
78,3312,Jawa Tengah,Wonogiri,910007,139522,462735,602257,307750,33.81842118,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-323213,-53.66695613
79,3313,Jawa Tengah,Karanganyar,692653,145555,387156,532711,159942,23.09121595,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-241601,-45.35310891
80,3314,Jawa Tengah,Sragen,775600,131045,414425,545470,230130,29.67122228,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-283380,-51.95152804
81,3315,Jawa Tengah,Grobogan,1105862,192547,536562,729109,376753,34.06871743,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-344015,-47.1829315
82,3316,Jawa Tengah,Blora,704487,164706,335176,499882,204605,29.04311932,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-170470,-34.10204808
83,3317,Jawa Tengah,Rembang,481264,126454,245393,371847,109417,22.73533861,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-118939,-31.986005
84,3318,Jawa Tengah,Pati,1033941,197058,540504,737562,296379,28.66498185,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-343446,-46.56503453
85,3319,Jawa Tengah,Kudus,607610,195171,260384,455555,152055,25.02509834,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-65213,-14.31506624
86,3320,Jawa Tengah,Jepara,846437,180741,436410,617151,229286,27.08837161,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-255669,-41.42730061
87,3321,Jawa Tengah,Demak,842655,224076,369726,593802,248853,29.53201488,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-145650,-24.52837815
88,3322,Jawa Tengah,Semarang,759051,227602,359428,587030,172021,22.66264059,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-131826,-22.45643323
89,3323,Jawa Tengah,Temanggung,582486,167212,309118,476330,106156,18.22464403,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-141906,-29.79153108
90,3324,Jawa Tengah,Kendal,760531,228708,329481,558189,202342,26.60535862,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-100773,-18.0535625
91,3325,Jawa Tengah,Batang,588562,145019,278706,423725,164837,28.00673506,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-133687,-31.55041595
92,3326,Jawa Tengah,Pekalongan,715372,148592,328245,476837,238535,33.34419016,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-179653,-37.67597733
93,3327,Jawa Tengah,Pemalang,1123549,232693,453468,686161,437388,38.92914328,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-220775,-32.17539324
94,3328,Jawa Tengah,Tegal,1210106,297100,451294,748394,461712,38.15467405,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-154194,-20.60331857
95,3329,Jawa Tengah,Brebes,1506629,317975,601106,919081,587548,38.99752361,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-283131,-30.80588109
96,3371,Jawa Tengah,Kota Magelang,95418,32173,42056,74229,21189,22.20650192,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-9883,-13.31420334
97,3372,Jawa Tengah,Kota Surakarta,419547,52703,284199,336902,82645,19.69862733,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-231496,-68.71315694
98,3373,Jawa Tengah,Kota Salatiga,132872,38628,68664,107292,25580,19.25161057,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-30036,-27.99463147
99,3374,Jawa Tengah,Kota Semarang,1161687,292496,624289,916785,244902,21.08158222,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-331793,-36.19092808
100,3375,Jawa Tengah,Kota Pekalongan,220713,64738,99814,164552,56161,25.44526149,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-35076,-21.31605815
101,3376,Jawa Tengah,Kota Tegal,203366,55912,78775,134687,68679,33.77113185,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-22863,-16.9749122
103,3401,Daerah Istimewa Yogyakarta,Kulon Progo,338079,127145,136881,264026,74053,21.90405201,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-9736,-3.687515623
104,3402,Daerah Istimewa Yogyakarta,Bantul,732124,271535,313383,584918,147206,20.10670324,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-41848,-7.154507127
105,3403,Daerah Istimewa Yogyakarta,Gunungkidul,601556,176801,280110,456911,144645,24.04514293,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-103309,-22.61031142
106,3404,Daerah Istimewa Yogyakarta,Sleman,818960,303420,355975,659395,159565,19.48385758,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-52555,-7.970184791
107,3471,Daerah Istimewa Yogyakarta,Kota Yogyakarta,321425,98441,147900,246341,75084,23.35972622,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-49459,-20.07745361
109,3501,Jawa Timur,Pacitan,465256,205365,112332,317697,147559,31.71565762,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,93033,29.28356264
110,3502,Jawa Timur,Ponorogo,775505,250385,280689,531074,244431,31.51894572,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-30304,-5.706172774
111,3503,Jawa Timur,Trenggalek,568442,140980,267772,408752,159690,28.09257585,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-126792,-31.01929776
112,3504,Jawa Timur,Tulungagung,855720,210972,401482,612454,243266,28.42822419,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-190510,-31.10600959
113,3505,Jawa Timur,Blitar,923611,194251,488724,682975,240636,26.05382569,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-294473,-43.11621948
114,3506,Jawa Timur,Kediri,1187497,294429,619456,913885,273612,23.04106874,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-325027,-35.56541578
115,3507,Jawa Timur,Malang,2011574,549623,865641,1415264,596310,29.64395046,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-316018,-22.32926154
116,3508,Jawa Timur,Lumajang,843478,256576,319840,576416,267062,31.66199948,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-63264,-10.97540665
117,3509,Jawa Timur,Jember,1789197,507428,694751,1202179,587018,32.80901991,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-187323,-15.58195577
118,3510,Jawa Timur,Banyuwangi,1276580,361727,539652,901379,375201,29.39110749,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-177925,-19.7391996
119,3511,Jawa Timur,Bondowoso,601588,270778,175467,446245,155343,25.82215736,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,95311,21.35844659
120,3512,Jawa Timur,Situbondo,526067,220034,153018,373052,153015,29.08659924,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,67016,17.96425163
121,3513,Jawa Timur,Probolinggo,858821,280103,289694,569797,289024,33.65357857,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-9591,-1.683231045
122,3514,Jawa Timur,Pasuruan,1188962,474725,344930,819655,369307,31.06129548,H. Prabowo Subianto - Ir. M. H. Hatta Rajasa,129795,15.83532096
123,3515,Jawa Timur,Sidoarjo,1424040,464893,550726,1015619,408421,28.68044437,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-85833,-8.451299158
124,3516,Jawa Timur,Mojokerto,818059,260355,370265,630620,187439,22.91265055,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-109910,-17.42887952
125,3517,Jawa Timur,Jombang,997681,303115,411112,714227,283454,28.41128577,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-107997,-15.12082293
126,3518,Jawa Timur,Nganjuk,877841,232506,376899,609405,268436,30.57911399,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-144393,-23.69409506
127,3519,Jawa Timur,Madiun,584545,177992,240002,417994,166551,28.49241718,Ir. H. Joko Widodo - Drs. H. M. Jusuf Kalla,-62010,-14.83514117
